id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
148,1-0119-A,G10119A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
149,1-0119-B,G10119B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
150,1-0119,G10119,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-06,2024-04-22
151,1-0120,G10120,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
152,1-0121-A,G10121A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
153,1-0121-B,G10121B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
154,1-0121,G10121,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-06,2024-04-22
155,1-0122,G10122,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
156,1-0123,G10123,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-16,2024-04-22
157,1-0124,G10124,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-13,2024-04-22
158,1-0125,G10125,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
159,1-0126,G10126,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
160,1-0127,G10127,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
161,1-0128,G10128,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
162,1-0129,G10129,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
163,1-0130,G10130,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-18,2024-04-22
164,1-0131,G10131,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
165,1-0132,G10132,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
166,1-0133,G10133,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
167,1-0134,G10134,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
168,1-0135,G10135,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
169,1-0136,G10136,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
170,1-0137,G10137,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
171,1-0138,G10138,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
172,1-0139,G10139,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,2023-05-16,2024-04-22
173,1-0140,G10140,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-13,2024-04-22
174,1-0141,G10141,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
175,1-0142,G10142,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
176,1-0143,G10143,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
177,1-0144,G10144,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
178,1-0145,G10145,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2023-05-17,2024-04-22
179,1-0146-A,G10146A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-17,2024-04-22
180,1-0146-B,G10146B,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-17,2024-04-22
181,1-0146-C,G10146C,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2021-04-17,2024-04-22
182,1-0146-D,G10146D,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
183,1-0146-E,G10146E,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2021-04-17,2024-04-22
184,1-0146,G10146,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2023-06-08,2024-04-22
185,1-0147,G10147,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
186,1-0148,G10148,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
187,1-0149,G10149,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
188,1-0150,G10150,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
189,1-0151,G10151,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
190,1-0152,G10152,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
191,1-0153,G10153,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
192,1-0154,G10154,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
193,1-0155,G10155,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,2023-05-18,2024-04-22
