id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
8827,7-0965,G70965,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,01/04/2018,22/04/2024
8828,7-0966,G70966,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,25/05/2023,22/04/2024
8829,7-0967-A,G70967A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,0.68,24/05/2023,22/04/2024
8830,7-0967-B,G70967B,H:\Gold-Models\,H:\Gold-Models\, , production,04/11/2020,Semi,Not Available,24/05/2023,22/04/2024
8831,7-0967-C,G70967C,H:\Gold-Models\,H:\Gold-Models\,*, production,04/11/2020,Semi,0.68,24/05/2023,22/04/2024
8832,7-0968,G70968,H:\Gold-Models\,H:\Gold-Models\,***, production,21/07/2020, ,Not Available,11/03/2023,22/04/2024
8833,7-0969,G70969,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,01/04/2018,22/04/2024
8834,7-0970,G70970,H:\Gold-Models\,H:\Gold-Models\, , production,05/09/2020, ,Not Available,01/04/2018,22/04/2024
8835,7-0971,G70971,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,04/03/2023,22/04/2024
8836,7-0972,G70972,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,27/04/2018,22/04/2024
8837,7-0973-A,G70973A,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.61,15/06/2023,22/04/2024
8838,7-0973-B,G70973B,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.66,15/06/2023,22/04/2024
8839,7-0973,G70973,H:\Gold-Models\,H:\Gold-Models\, , production, , ,0.57,15/06/2023,22/04/2024
8840,7-0974,G70974,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,13/06/2023,22/04/2024
8841,7-0975,G70975,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/08/2018,22/04/2024
8842,7-0976,G70976,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,01/08/2018,22/04/2024
8843,7-0977,G70977,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/08/2018,22/04/2024
8844,7-0978,G70978,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/08/2018,22/04/2024
8845,7-0979,G70979,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/08/2018,22/04/2024
8846,7-0980,G70980,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/08/2018,22/04/2024
8847,7-0981,G70981,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,27/08/2018,22/04/2024
8848,7-0982,G70982,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/04/2021,22/04/2024
8849,7-0983,G70983,H:\Gold-Models\,H:\Gold-Models\, , production,07/08/2024, ,Not Available,12/04/2021,22/04/2024
8850,7-0984,G70984,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,15/04/2019,22/04/2024
8851,7-0985-A,G70985A,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,25/05/2023,22/04/2024
8852,7-0985,G70985,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,15/04/2019,22/04/2024
8853,7-0986,G70986,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/04/2021,22/04/2024
8854,7-0987,G70987,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,15/04/2019,22/04/2024
8855,7-0988,G70988,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,24/05/2023,22/04/2024
8856,7-0989,G70989,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD,Blue,0.10,23/05/2023,22/04/2024
8857,7-0990,G70990,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,15/04/2019,22/04/2024
8858,7-0991,G70991,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,26/05/2023,22/04/2024
8859,7-0992,G70992,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,23/05/2023,22/04/2024
8860,7-0993,G70993,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,29/03/2019,22/04/2024
8861,7-0994,G70994,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/04/2021,22/04/2024
8862,7-0995,G70995,H:\Gold-Models\,H:\Gold-Models\,*, production,29/05/2021, ,Not Available,24/05/2023,22/04/2024
8863,7-0996,G70996,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/04/2021,22/04/2024
8864,7-0997,G70997,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,24/05/2023,22/04/2024
8865,7-0998,G70998,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,PRL,Not Available,25/05/2023,22/04/2024
8866,7-0999,G70999,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/04/2021,22/04/2024
8867,7-1000,G71000,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,12/04/2021,22/04/2024
8868,7-1001,G71001,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,26/05/2023,22/04/2024
8869,7-1002,G71002,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
8870,7-1003,G71003,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/04/2021,22/04/2024
8871,7-1004,G71004,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,12/04/2021,22/04/2024
8872,7-1005,G71005,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,24/05/2023,22/04/2024
8873,7-1006,G71006,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,24/05/2023,22/04/2024
8874,7-1007,G71007,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
8875,7-1008,G71008,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,24/05/2023,22/04/2024
